OPEID,INSTNM,CITY,STABBR,ADM_RATE,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,PPTUG_EF,PPTUG_EF2,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,APPL_SCH_PCT_GE4,APPL_SCH_PCT_GE5,DEP_INC_AVG,IND_INC_AVG,DEBT_MDN,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,COMPL_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,DEP_RPY_3YR_RT_SUPP,IND_RPY_3YR_RT_SUPP,PELL_RPY_3YR_RT_SUPP,NOPELL_RPY_3YR_RT_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,NOTFIRSTGEN_RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,C200_4_POOLED_SUPP
101900,Huntingdon College,Montgomery,AL,0.6279,999,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1564,NULL,0.1836,NULL,1,NULL,17864,31433,NULL,23500,23500,NULL,9074,6571,6027,0.4083,0.4302,0.315934066,0.226648352,69102.10442,28715.59624,16850,16850,27000,299.75535,0.781431335,0.741758242,0.784615385,0.828571429,0.863070539,0.714285714,0.761363636,0.824242424,0.731343284,0.835341365,0.810606061,0.748,0.757731959,0.810218978,NULL,0.447984076,NULL,0.503981167
2199700,Heritage Christian University,Florence,AL,NULL,NULL,67,0.7313,0.1194,0.0448,0,0,0.0149,0.0149,0.0299,0.0448,NULL,0.5224,NULL,1,NULL,9346,21160,NULL,9792,9792,NULL,10138,9356,5512,1,0.4839,PrivacySuppressed,PrivacySuppressed,35142.98389,20935.11264,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.511627907,0.470588235,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.441176471,PrivacySuppressed,0.441176471,0.511627907,PrivacySuppressed,PrivacySuppressed,0.512820513,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,NULL,PrivacySuppressed
526000,J F Drake State Community and Technical College,Huntsville,AL,NULL,NULL,1040,0.3096,0.6231,0.025,0.0048,0.0067,0.0029,0.0202,0.0019,0.0058,NULL,0.3894,NULL,1,7163,NULL,12217,NULL,3336,6000,NULL,1348,5498,6947,0.378,0.5873,0.130514706,0.070772059,20612.49862,13015.73649,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.137649032,NULL,0.244616547,NULL
102000,Jacksonville State University,Jacksonville,AL,0.8326,1036,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0,0.0221,0.0246,NULL,0.2128,NULL,1,16078,NULL,19202,NULL,7092,13884,NULL,6192,6949,6857,0.6516,0.4613,0.185410334,0.12674772,52413.51883,29478.84973,16500,16500,23500,260.898175,0.627607888,0.548143852,0.675468484,0.765765766,0.817152104,0.52393617,0.609310058,0.665711557,0.579141104,0.741071429,0.646366428,0.595730028,0.617713853,0.647498562,NULL,0.297699661,NULL,0.374319186
102100,Jefferson Davis Community College,Brewton,AL,NULL,NULL,1037,0.5853,0.297,0.0116,0.0183,0.0289,0,0.0135,0,0.0453,NULL,0.4089,NULL,1,3796,NULL,9149,NULL,3908,7238,NULL,1084,5655,5636,0.5,0.5283,0.128169014,0.094366197,20517.0824,16943.63457,2000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.282789097,NULL,0.356118919,NULL
102200,Jefferson State Community College,Birmingham,AL,NULL,NULL,7494,0.6894,0.2171,0.0388,0.0169,0.0031,0.0008,0.0259,0.0079,0.0001,NULL,0.6182,NULL,1,8799,NULL,12943,NULL,4260,7590,NULL,2670,4576,6079,0.3348,0.3579,0.145977509,0.091695502,40109.79284,21564.51146,5057,5057,10000,111.0205,0.622807018,0.536764706,0.668325041,0.77385159,0.799283154,0.588111888,0.678249678,0.576216216,0.547528517,0.744615385,0.626421697,0.617810761,0.623015873,0.64651774,0.087277462,NULL,0.16483655,NULL
101300,John C Calhoun State Community College,Tanner,AL,NULL,NULL,9970,0.6627,0.1949,0.0396,0.0191,0.0195,0.0008,0.0363,0.004,0.0232,NULL,0.5785,NULL,1,5278,NULL,9829,NULL,4140,7410,NULL,2985,3720,6083,0.2998,0.4032,0.127019214,0.072266621,43217.84793,20921.2597,5500,5500,9940,110.354377,0.543043812,0.456890199,0.618311534,0.693333333,0.778787879,0.508594094,0.607758621,0.492220651,0.479632817,0.680288462,0.546987952,0.539149888,0.537053182,0.579093432,0.127015979,NULL,0.156614362,NULL
102300,Judson College,Marion,AL,0.7388,1023,331,0.7915,0.145,0.0151,0.0091,0.003,0,0.006,0.0091,0.0211,NULL,0.2115,NULL,1,NULL,17243,27815,NULL,15630,15630,NULL,7626,9293,5638,1,0.4788,0.208955224,0.164179105,46604.68863,21476.45453,14250,14250,PrivacySuppressed,PrivacySuppressed,0.718120805,0.620689655,0.754098361,PrivacySuppressed,0.818181818,0.673076923,0.707964602,0.742857143,0.683673469,0.78,0.718309859,PrivacySuppressed,0.6875,0.728571429,NULL,0.390415068,NULL,0.398628378
105900,Lawson State Community College-Birmingham Campus,Birmingham,AL,NULL,NULL,2894,0.1448,0.7557,0.0104,0.0031,0.0014,0.0024,0.0083,0.001,0.0729,NULL,0.3825,NULL,1,7406,NULL,12602,NULL,4230,7590,NULL,1576,5705,6005,0.4093,0.6821,0.207472178,0.145071542,20176.83268,11895.90627,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.178993385,NULL,0.187934947,NULL
102400,University of West Alabama,Livingston,AL,0.9957,950,1988,0.4291,0.4195,0.0216,0.0101,0.0035,0.001,0.0091,0.0473,0.0589,NULL,0.1479,NULL,1,13221,NULL,17959,NULL,7660,14170,NULL,9161,8898,6408,0.5404,0.5604,0.271993543,0.193704601,38441.93305,17404.72891,13500,13500,22500,249.796125,0.543230016,0.479415671,0.600649351,0.792857143,0.714285714,0.520220588,0.563480742,0.524850895,0.489092997,0.701492537,0.555405405,0.532894737,0.523809524,0.59295499,NULL,0.330417768,NULL,0.292893241
